,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Respiratory Diseases ,Respiratory disease Dummy
118048,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,17-Aug-01,Parts per billion,8.347826,16,6,15,Parts per million,0.037333,0.048,9,41,Parts per billion,2.885714,3.3,11,,Parts per million,0.479167,0.6,12,7,1,Yes
510823,42,7,14,EIGHT STREET AND RIVER ALLEY,Pennsylvania,Beaver,Beaver Falls,27-Oct-05,Parts per billion,16.166667,23,19,22,Parts per million,0.006792,0.015,8,13,Parts per billion,4.0625,5,11,,Parts per million,0.4125,0.5,21,6,1,Yes
470000,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,21-Oct-05,Parts per billion,15.695652,26,9,25,Parts per million,0.042208,0.053,12,45,Parts per billion,3.086957,4,14,6,Parts per million,0.6375,0.7,7,8,1,Yes
265886,42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,06-Dec-02,Parts per billion,24.333333,50,6,47,Parts per million,0.036708,0.053,9,45,Parts per billion,7.2375,16.6,8,,Parts per million,0.508333,0.6,9,7,1,Yes
108040,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,07-Aug-01,Parts per billion,9.826087,15,5,14,Parts per million,0.024167,0.033,9,28,Parts per billion,0.652174,5,9,7,Parts per million,0.273913,0.3,0,,1,Yes
504742,36,81,124,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,08-Aug-05,Parts per billion,27.375,49,22,46,Parts per million,0.021958,0.037,11,31,Parts per billion,4.475,9.6,8,,Parts per million,0.6,0.8,22,,1,Yes
57761,29,189,6,305 WEIDMAN ROAD (QUEENY),Missouri,Saint Louis,Not in a city,13-May-00,Parts per billion,5.375,14,23,13,Parts per million,0.033167,0.046,11,39,Parts per billion,0.1125,0.6,5,,Parts per million,0.545833,0.7,0,8,1,Yes
195336,6,37,31,"1115 N. MAHAR AVENUE WILMINGTON, CA",California,Los Angeles,West Los Angeles,04-Jul-02,Parts per billion,12.826087,27,5,25,Parts per million,0.034625,0.04,9,34,Parts per billion,1.294118,7,7,10,Parts per million,0.2375,0.3,3,3,1,Yes
432309,42,91,13,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,06-Nov-04,Parts per billion,17.541667,24,12,23,Parts per million,0.010375,0.019,9,16,Parts per billion,0.375,2,19,3,Parts per million,0.2625,0.4,7,,1,Yes
222932,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,06-Nov-02,Parts per billion,8.130435,17,6,16,Parts per million,0.024375,0.047,10,40,Parts per billion,0,0,0,0,Parts per million,0.229167,0.3,8,3,1,Yes
226680,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,29-Apr-02,Parts per billion,10.666667,29,5,27,Parts per million,0.026292,0.041,10,35,Parts per billion,0,0,2,,Parts per million,0.470588,0.6,7,7,1,Yes
10514,6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,22-Dec-00,Parts per billion,62.272727,192,9,118,Parts per million,0.014625,0.038,8,32,Parts per billion,7.016667,14.6,11,,Parts per million,4.340909,11,8,,1,Yes
343059,42,7,14,EIGHT STREET AND RIVER ALLEY,Pennsylvania,Beaver,Beaver Falls,13-Sep-03,Parts per billion,7.208333,12,23,11,Parts per million,0.015458,0.028,10,24,Parts per billion,5.4125,12,17,,Parts per million,0.141667,0.2,0,,1,Yes
106922,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,28-Sep-01,Parts per billion,69.608696,135,9,107,Parts per million,0.0185,0.049,10,42,Parts per billion,4.414286,7.6,8,,Parts per million,2.152174,5,8,,1,Yes
422108,40,21,9002,"P.O. BOX 948   TAHLEQUAH, OK  74464",Oklahoma,Cherokee,Park Hill,13-Jun-04,Parts per billion,3.791667,18,19,17,Parts per million,0.032375,0.048,11,41,Parts per billion,0.1125,0.3,2,,Parts per million,0,0,0,0,1,Yes
174955,42,129,8,DONOHOE ROAD - PENN DOT MAINT DIST BLDG,Pennsylvania,Westmoreland,Greensburg,10-Jan-01,Parts per billion,18.083333,31,20,29,Parts per million,0.013625,0.033,11,28,Parts per billion,3.583333,11,14,16,Parts per million,0.145833,0.7,20,,1,Yes
165080,42,11,9,UGI CO MONGANTOWN RD AND PROSPECT ST,Pennsylvania,Berks,Reading,27-Jul-01,Parts per billion,17.625,31,20,29,Parts per million,0.020333,0.04,10,34,Parts per billion,3.7625,7.6,8,,Parts per million,0.458333,0.6,0,7,1,Yes
167952,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,30-Oct-01,Parts per billion,21.041667,36,17,34,Parts per million,0.007125,0.022,9,19,Parts per billion,9.35,14,11,,Parts per million,0.958333,1.2,8,14,1,Yes
10922,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,03-May-00,Parts per billion,15.826087,42,20,40,Parts per million,0.030917,0.041,2,35,Parts per billion,0.26087,1,5,1,Parts per million,0.465217,1.2,21,,1,Yes
367925,6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,20-Apr-04,Parts per billion,6.608696,16,5,15,Parts per million,0.035333,0.041,21,35,Parts per billion,2.342857,4,8,,Parts per million,0.513043,0.6,5,,1,Yes
26325,6,73,2007,"1100 PASEO INTERNATIONAL, OTAY MESA, CA",California,San Diego,San Diego,09-Jul-00,Parts per billion,34.478261,49,10,46,Parts per million,0.01375,0.024,9,20,Parts per billion,3.73913,5,4,7,Parts per million,1.570833,2,9,23,1,Yes
125588,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,28-Dec-01,Parts per billion,14.913043,25,20,24,Parts per million,0.02219,0.034,20,29,Parts per billion,0.8,1,11,,Parts per million,0.533333,0.6,0,7,1,Yes
214592,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,21-Jun-02,Parts per billion,1.913043,3,7,3,Parts per million,0.0431,0.052,8,44,Parts per billion,0,0,5,,Parts per million,0.2,0.2,0,2,1,Yes
429208,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,24-Aug-04,Parts per billion,9.125,20,19,19,Parts per million,0.028375,0.061,11,54,Parts per billion,5.775,9,14,,Parts per million,0.3,0.4,0,5,1,Yes
13417,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,16-Jan-00,Parts per billion,39.434783,58,9,55,Parts per million,0.003917,0.009,8,8,Parts per billion,2.685714,7.3,20,,Parts per million,0.758333,1.2,23,14,1,Yes
57419,29,189,4,"Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126",Missouri,Saint Louis,Sunset Hills,20-Sep-00,Parts per billion,15.333333,41,7,39,Parts per million,0.021333,0.054,0,46,Parts per billion,1.583333,4,0,6,Parts per million,0.595833,0.7,9,8,1,Yes
358564,48,141,58,5050A Yvette Drive,Texas,El Paso,El Paso,31-Jan-03,Parts per billion,22.458333,41,0,39,Parts per million,0.0165,0.037,10,31,Parts per billion,0,0,2,,Parts per million,0.545833,1,0,11,1,Yes
160876,40,21,9002,"P.O. BOX 948   TAHLEQUAH, OK  74464",Oklahoma,Cherokee,Park Hill,31-Aug-01,Parts per billion,9.916667,30,19,28,Parts per million,0.022875,0.046,11,39,Parts per billion,0.375,4,8,6,Parts per million,0.041667,0.2,22,2,1,Yes
53247,21,111,51,"7201 WATSON LN, WATSON LN ELEMENTARY SCH",Kentucky,Jefferson,Louisville,29-Jul-00,Parts per billion,4.625,17,23,16,Parts per million,0.026292,0.035,11,30,Parts per billion,2,2,2,,Parts per million,0,0,0,0,1,Yes
321784,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),23-Sep-03,Parts per billion,14.571429,33,20,31,Parts per million,0.020833,0.034,10,29,Parts per billion,1.7,3,20,,Parts per million,0.333333,0.4,0,5,1,Yes
325093,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),26-May-03,Parts per billion,11.478261,40,21,38,Parts per million,0.027833,0.046,12,39,Parts per billion,3.3875,7.3,11,,Parts per million,0.141667,1.6,22,,1,Yes
173430,42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,16-Dec-01,Parts per billion,24.375,38,22,36,Parts per million,0.004833,0.01,7,8,Parts per billion,2.1375,5.3,23,,Parts per million,0.533333,0.9,23,10,1,Yes
103515,6,37,30,651 S. MOTT STREET (SB 25 TRAILER),California,Los Angeles,Los Angeles,26-Aug-01,Parts per billion,37.818182,54,21,51,Parts per million,0.04625,0.098,10,156,Parts per billion,2.685714,5.6,8,,Parts per million,0.720833,0.8,0,9,1,Yes
220089,6,87,3, Center St,California,Santa Cruz,Davenport,25-May-02,Parts per billion,3.409091,13,3,12,Parts per million,0.032625,0.04,9,34,Parts per billion,1.042857,1.3,23,,Parts per million,0.327273,0.5,15,,1,Yes
321814,20,107,2,COUNTY RD 1103 .7 MI SOUTH OF K-52,Kansas,Linn,Not in a city,01-Jan-03,Parts per billion,2.708333,5,2,5,Parts per million,0.020292,0.022,11,19,Parts per billion,0.166667,1,10,1,Parts per million,0.147368,0.2,5,2,1,Yes
407483,20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,17-Jun-04,Parts per billion,7.958333,21,21,20,Parts per million,0.025167,0.039,10,33,Parts per billion,1.1875,3.3,11,,Parts per million,0.395833,0.8,0,9,1,Yes
148123,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,19-May-01,Parts per billion,7.458333,20,5,19,Parts per million,0.0232,0.033,9,28,Parts per billion,1.5,4,11,6,Parts per million,0.554167,0.7,4,,1,Yes
244033,32,3,601,1005 INDUSTRIAL ROAD,Nevada,Clark,Boulder City,23-Aug-02,Parts per billion,3.041667,21,5,20,Parts per million,0.048667,0.054,6,46,Parts per billion,0,0,0,0,Parts per million,0,0,0,,1,Yes
115884,6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,02-Sep-01,Parts per billion,19.909091,35,4,33,Parts per million,0.028708,0.036,9,31,Parts per billion,1.454545,2,4,3,Parts per million,0.290909,0.5,0,,1,Yes
316946,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,21-Sep-03,Parts per billion,23.25,35,0,33,Parts per million,0.022667,0.039,10,33,Parts per billion,7.708333,14,9,20,Parts per million,1.466667,2.3,1,26,1,Yes
359512,48,141,58,5050A Yvette Drive,Texas,El Paso,El Paso,24-Oct-03,Parts per billion,21.458333,38,19,36,Parts per million,0.025917,0.048,10,41,Parts per billion,0.65,1.6,8,,Parts per million,0.429167,0.7,5,8,1,Yes
42881,17,31,63,321 S. FRANKLIN,Illinois,Cook,Chicago,03-Apr-00,Parts per billion,38.416667,55,0,52,Parts per million,0.006958,0.012,10,10,Parts per billion,7.775,15,2,,Parts per million,0.883333,1.6,0,18,1,Yes
235738,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),31-May-02,Parts per billion,14.782609,38,0,36,Parts per million,0.045083,0.058,11,49,Parts per billion,0.958333,10,10,14,Parts per million,0.166667,0.6,1,7,1,Yes
300120,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,17-Jun-03,Parts per billion,8.782609,18,7,17,Parts per million,0.036,0.043,10,36,Parts per billion,4.685714,6,2,,Parts per million,0.45,0.5,4,6,1,Yes
214919,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,09-Nov-02,Parts per billion,5.347826,9,0,8,Parts per million,0.044458,0.059,9,50,Parts per billion,1.871429,3.3,17,,Parts per million,0.278261,0.3,0,,1,Yes
499221,29,189,4,"Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126",Missouri,Saint Louis,Sunset Hills,14-Jul-05,Parts per billion,11.958333,21,0,20,Parts per million,0.039375,0.06,12,51,Parts per billion,2.9375,8.6,11,,Parts per million,0.604167,0.7,0,,1,Yes
274658,48,141,58,5050A Yvette Drive,Texas,El Paso,El Paso,31-Dec-02,Parts per billion,17.625,41,11,39,Parts per million,0.021579,0.034,13,29,Parts per billion,0.2,1,14,,Parts per million,0.4,0.7,9,8,1,Yes
147564,21,145,1024,"JACKSON PURCHASE RECC, 2901 POWELL STREET",Kentucky,McCracken,Paducah,26-Jun-01,Parts per billion,15.043478,32,1,30,Parts per million,0.044083,0.072,10,90,Parts per billion,2.442857,5.3,14,,Parts per million,0,0,0,0,1,Yes
377321,6,59,1003,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,14-Jan-04,Parts per billion,44.826087,65,9,63,Parts per million,0.005417,0.016,10,14,Parts per billion,3.217391,5,6,7,Parts per million,1.966667,3,3,34,1,Yes
194717,6,37,30,651 S. MOTT STREET (SB 25 TRAILER),California,Los Angeles,Los Angeles,26-Feb-02,Parts per billion,54.666667,70,18,68,Parts per million,0.016458,0.031,10,26,Parts per billion,2.142857,4,6,6,Parts per million,1.852381,3.7,7,,1,Yes
321705,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),09-Apr-03,Parts per billion,15.090909,26,0,25,Parts per million,0.018333,0.03,9,25,Parts per billion,0.695652,4,1,6,Parts per million,0.3,0.3,0,,1,Yes
426267,42,11,9,UGI CO MONGANTOWN RD AND PROSPECT ST,Pennsylvania,Berks,Reading,19-May-04,Parts per billion,21.041667,29,11,27,Parts per million,0.012792,0.02,11,17,Parts per billion,5.416667,14,0,20,Parts per million,0.375,0.7,15,,1,Yes
463763,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,22-Apr-05,Parts per billion,35.545455,59,8,56,Parts per million,0.017958,0.034,9,29,Parts per billion,2.25,3.6,8,,Parts per million,0.659091,1.5,6,,1,Yes
13530,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,14-Feb-00,Parts per billion,17.173913,34,18,32,Parts per million,0.008375,0.015,0,13,Parts per billion,0.695652,10,23,14,Parts per million,0.395652,0.9,18,,1,Yes
265084,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,19-Sep-02,Parts per billion,17.6,27,7,25,Parts per million,0.0255,0.039,9,33,Parts per billion,7.833333,10,11,14,Parts per million,0.358333,0.5,19,6,1,Yes
355596,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,01-Jan-03,Parts per billion,18.583333,61,2,58,Parts per million,0.021333,0.035,10,30,Parts per billion,1.325,4,5,,Parts per million,0.736842,1.7,6,19,1,Yes
377700,6,59,1003,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,18-Apr-04,Parts per billion,6.217391,18,22,17,Parts per million,0.037875,0.049,11,42,Parts per billion,0.521739,3,16,4,Parts per million,0.226087,0.4,22,,1,Yes
162032,40,115,9004,"QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI",Oklahoma,Ottawa,Miami,28-Feb-01,Parts per billion,8.75,14,18,13,Parts per million,0.013833,0.019,4,16,Parts per billion,1.3875,2,2,,Parts per million,0,0,0,0,1,Yes
